Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
11;Métro;CHATELET;12829472;1;4;7;11;14;Paris;1
40;Métro;STALINGRAD;7226584;2;5;7;;;Paris;19
10;Métro;BASTILLE;13239442;1;5;8;;;Paris;12
1;Métro;GARE DU NORD;50860744;4;5;;;;Paris;10
28;Métro;BIR-HAKEIM;8172283;6;;;;;Paris;15
8;Métro;LES HALLES;16107112;4;;;;;Paris;1
17;Métro;FRONT POPULAIRE;10699637;12;;;;;Saint Denis / Aubervilliers;
43;Métro;MADELEINE;7089433;8;12;14;;;Paris;8
45;Métro;GAMBETTA;7052652;3;3bis;;;;Paris;20
74;Métro;DAUMESNIL;5313490;6;8;;;;Paris;12
60;Métro;COUR SAINT-EMILION;6022116;14;;;;;Paris;12
59;Métro;ANVERS;6032609;2;;;;;Paris;18
91;Métro;BASILIQUE DE SAINT-DENIS;4839973;13;;;;;Saint Denis;
90;Métro;SAINT-DENIS-UNIVERSITE;4858033;13;;;;;Saint Denis;
42;Métro;MAIRIE DE CLICHY;7107063;13;;;;;Clichy;
77;Métro;GABRIEL PERI;5264003;13;;;;;Asnières;
65;Métro;GALLIENI;5863396;3;;;;;Bagnolet;
123;Métro;ARTS ET METIERS;4026218;3;11;;;;Paris;3
107;Métro;OBERKAMPF;4402589;5;9;;;;Paris;11
148;Métro;DUROC;3584770;10;13;;;;Paris;7
112;Métro;PORTE DE BAGNOLET;4293544;3;;;;;Paris;20
106;Métro;JULES JOFFRIN;4416975;12;;;;;Paris;18
151;Métro;POISSONNIERE;3529368;7;;;;;Paris;10
150;Métro;LES GOBELINS;3532761;7;;;;;Paris;13
108;Métro;LE KREMLIN-BICETRE;4368647;7;;;;;Kremlin-Bicêtre;
146;Métro;CRETEIL-UNIVERSITE;3605792;8;;;;;Créteil;
99;Métro;ROBESPIERRE;4661231;9;;;;;Montreuil;
176;Métro;PLACE DES FETES;3083242;7bis;11;;;;Paris;19
182;Métro;NOTRE-DAME-DE-LORETTE;2989683;12;;;;;Paris;9
174;Métro;QUAI DE LA GARE;3114195;6;;;;;Paris;13
204;Métro;MALESHERBES;2633146;3;;;;;Paris;17
205;Métro;COURCELLES;2626896;2;;;;;Paris;17
153;Métro;JOURDAIN;3512790;11;;;;;Paris;20
185;Métro;ARGENTINE;2950929;1;;;;;Paris;17
175;Métro;SIMPLON;3083837;4;;;;;Paris;18
156;Métro;BOURSE;3439709;3;;;;;Paris;2
178;Métro;GAITE;3035526;13;;;;;Paris;14
239;Métro;MAUBERT-MUTUALITE;2204329;10;;;;;Paris;5
212;Métro;RUE DES BOULETS;2564140;9;;;;;Paris;11
228;Métro;PORTE D'ITALIE;2347785;7;;;;;Paris;13
230;Métro;EDGAR QUINET;2321264;6;;;;;Paris;14
249;Métro;SOLFERINO;2058280;12;;;;;Paris;7
211;Métro;TUILERIES;2565447;1;;;;;Paris;1
233;Métro;BEL AIR;2298213;6;;;;;Paris;12
231;Métro;LES AGNETTES;2308871;13;;;;;Asnières sur Seine;
207;Métro;CARREFOUR PLEYEL;2619238;13;;;;;Saint Denis;
222;Métro;CRETEIL-L'ECHAT;2397399;8;;;;;Créteil;
271;Métro;SAINT-SEBASTIEN-FROISSART;1661453;8;;;;;Paris;3
254;Métro;QUATRE-SEPTEMBRE;1981596;3;;;;;Paris;2
260;Métro;FELIX FAURE;1829591;8;;;;;Paris;15
258;Métro;MABILLON;1853355;10;;;;;Paris;6
270;Métro;MONCEAU;1698260;2;;;;;Paris;17
253;Métro;MALAKOFF-RUE ETIENNE DOLET;1986235;13;;;;;Malakoff;
291;Métro;ASSEMBLEE NATIONALE;1030686;12;;;;;Paris;7
272;Métro;CARDINAL LEMOINE;1659755;10;;;;;Paris;5
303;Métro;EGLISE D'AUTEUIL;177017;10;;;;;Paris;16
275;Métro;SULLY-MORLAND;1580307;7;;;;;Paris;4
1;RER;GARE DU NORD-RER;47465765;B;;;;;Paris;10
293;Métro;BOTZARIS;964240;7bis;;;;;Paris;19
280;Métro;RENNES;1489805;12;;;;;Paris;6
13;RER;RUEIL-MALMAISON;6436183;A;;;;;Rueil-Malmaison;
14;RER;ANTONY;6331718;B;;;;;Antony;
15;RER;AUBER;5923269;A;;;;;Paris;9
22;RER;SAINT-GERMAIN-EN-LAYE;4545802;A;;;;;Saint-Germain-en-Laye;
35;RER;BUSSY-SAINT-GEORGES;3155213;A;;;;;Bussy-Saint-Georges;
39;RER;BOISSY-SAINT-LEGER;2597193;A;;;;;Boissy-Saint-Léger;
63;RER;COURCELLE-SUR-YVETTE;633858;B;;;;;Gif sur Yvette;
18;RER;NEUILLY-PLAISANCE;5551528;A;;;;;Neuilly-sur-Seine;
60;RER;BURES-SUR-YVETTE;742330;B;;;;;Bures sur Yvette;
47;RER;LE VESINET-LE PECQ;2135170;A;;;;;Le Vésinet;
2;Métro;SAINT-LAZARE;47137968;3;9;12;13;14;Paris;8
6;Métro;REPUBLIQUE;18187603;3;5;8;9;11;Paris;11
14;Métro;PLACE D'ITALIE;11525905;5;6;7;;;Paris;13
3;Métro;GARE DE LYON;37302438;1;14;A;;;Paris;12
5;Métro;GARE DE L'EST;21299902;4;5;7;;;Paris;10
13;Métro;BELLEVILLE;11595446;2;11;;;;Paris;10
9;Métro;LA DEFENSE;15329402;1;;;;;Puteaux;
243;Métro;MICHEL-ANGE-AUTEUIL;2162365;9;10;;;;Paris;16
244;Métro;NOTRE-DAME-DES-CHAMPS;2150136;12;;;;;Paris;6
261;Métro;PHILIPPE AUGUSTE;1817987;2;;;;;Paris;11
295;Métro;SAINT-FARGEAU;715468;3bis;;;;;Paris;8
255;Métro;MAISON BLANCHE;1961665;7;;;;;Paris;13
250;Métro;RICHARD LENOIR;2006551;5;;;;;Paris;11
227;Métro;RUE DU BAC;2370918;12;;;;;Paris;7
247;Métro;JASMIN;2076285;9;;;;;Paris;16
288;Métro;TEMPLE;1270319;3;;;;;Paris;2
25;Métro;NATION;8718463;1;2;6;9;;Paris;12
73;Métro;SEVRES-BABYLONE;5321593;10;12;;;;Paris;7
75;Métro;RICHELIEU-DROUOT;5307462;8;9;;;;Paris;9
41;Métro;GRANDS BOULEVARDS;7141016;8;9;;;;Paris;9
50;Métro;INVALIDES;6537098;8;13;;;;Paris;7
63;Métro;BERCY;5909077;6;14;;;;Paris;12
34;Métro;SAINT-MICHEL;7469900;4;;;;;Paris;5
71;Métro;CONVENTION;5460496;12;;;;;Paris;15
46;Métro;VILLEJUIF-LOUIS ARAGON;6931264;7;;;;;Villejuif;
79;Métro;CROIX DE CHAVAUX;5221205;9;;;;;Montreuil;
92;Métro;BONNE NOUVELLE;4839769;8;9;;;;Paris;10
93;Métro;PERE LACHAISE;4837320;2;3;;;;Paris;20
113;Métro;ECOLE MILITAIRE;4285851;8;;;;;Paris;7
130;Métro;CHATEAU D'EAU;3929898;4;;;;;Paris;10
100;Métro;GUY MOQUET;4646625;13;;;;;Paris;17
120;Métro;RAMBUTEAU;4047914;11;;;;;Paris;3
110;Métro;GLACIERE;4315500;6;;;;;Paris;13
125;Métro;BLANCHE;3997296;2;;;;;Paris;9
85;Métro;ALESIA;5072500;4;;;;;Paris;14
122;Métro;OURCQ;4037796;5;;;;;Paris;19
140;Métro;ALEXANDRE DUMAS;3676620;2;;;;;Paris;11
132;Métro;SAINT-PLACIDE;3905148;4;;;;;Paris;6
133;Métro;VICTOR HUGO;3877660;2;;;;;Paris;16
159;Métro;FUNICULAIRE;3340170;2;;;;;Paris;18
152;Métro;CHEVALERET;3522575;6;;;;;Paris;13
167;Métro;CAMBRONNE;3191686;6;;;;;Paris;15
158;Métro;TOLBIAC;3364093;7;;;;;Paris;13
168;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3189981;10;;;;;Boulogne Billancourt;
149;Métro;CORENTIN CELTON;3569856;12;;;;;Issy Les Moulineaux;
137;Métro;ANATOLE FRANCE;3765962;3;;;;;Levallois-Perret;
8;RER;CHARLES DE GAULLE-ETOILE-RER;8640591;A;;;;;Paris;17
302;Métro;PELLEPORT;361581;3bis;;;;;Paris;20
299;Métro;BOLIVAR;552896;7bis;;;;;Paris;19
17;RER;LUXEMBOURG;5805371;B;;;;;Paris;5
24;RER;BOURG-LA-REINE;4469488;B;;;;;Bourg la Reine;
3;RER;LA DEFENSE-RER;30980489;A;;;;;Puteaux;
7;RER;MASSY-PALAISEAU;9145481;B;;;;;Massy;
223;Métro;LOUIS BLANC;2393010;7;7bis;;;;Paris;10
195;Métro;PORTE DE LA CHAPELLE;2839635;12;;;;;Paris;18
196;Métro;JAVEL-ANDRE CITROEN;2822682;10;;;;;Paris;15
169;Métro;FAIDHERBE-CHALIGNY;3150625;8;;;;;Paris;12
217;Métro;SAINT-JACQUES;2484204;6;;;;;Paris;13
220;Métro;LE PELETIER;2413692;7;;;;;Paris;9
197;Métro;CORVISART;2816073;6;;;;;Paris;13
224;Métro;RANELAGH;2387545;9;;;;;Paris;16
177;Métro;CHARENTON-ECOLES;3067681;8;;;;;Charenton;
214;Métro;LIBERTE;2562237;8;;;;;Charenton;
32;RER;PORT ROYAL;3514722;B;;;;;Paris;5
55;RER;SAINT-REMY-LES-CHEVREUSE;1012303;B;;;;;St-Rémy-Lès-Chevreuse;
45;RER;LE PARC DE SAINT-MAUR;2206034;A;;;;;Saint-Maur des Fossés;
37;RER;NOGENT-SUR-MARNE;2693622;A;;;;;Nogent-sur-Marne;
41;RER;SUCY-BONNEUIL;2380266;A;;;;;Sucy-en-Brie;
56;RER;PALAISEAU-VILLEBON;958637;B;;;;;Palaiseau;
61;RER;FONTAINE-MICHALON;737338;B;;;;;Antony;
31;RER;ARCUEIL-CACHAN;3550212;B;;;;;Arcueil;
62;RER;SCEAUX;706053;B;;;;;sceaux;
66;RER;LA HACQUINIERE;467914;B;;;;;Bures sur Yvette;
15;Métro;BARBES-ROCHECHOUART;11219335;2;4;;;;Paris;18
12;Métro;HOTEL DE VILLE;11777638;1;11;;;;Paris;4
7;Métro;BIBLIOTHEQUE;18129727;14;;;;;Paris;13
51;Métro;CONCORDE;6312926;1;8;12;;;Paris;8
33;Métro;HAVRE-CAUMARTIN;7492542;3;9;;;;Paris;9
27;Métro;PORTE DE CLIGNANCOURT;8256129;4;;;;;Paris;18
49;Métro;PORTE D'ORLEANS;6702371;4;;;;;Paris;14
24;Métro;PORTE MAILLOT;8774568;1;;;;;Paris;16
47;Métro;LA CHAPELLE;6841948;2;;;;;Paris;9
19;Métro;ESPLANADE DE LA DEFENSE;10148031;1;;;;;Puteaux;
57;Métro;LES SABLONS;6098028;1;;;;;Neuilly Sur Seine;
36;Métro;CHATILLON-MONTROUGE;7349354;13;;;;;Chatillon;
32;Métro;MAIRIE DE MONTREUIL;7715647;9;;;;;Montreuil;
281;Métro;AVENUE EMILE ZOLA;1471634;10;;;;;Paris;15
274;Métro;MOUTON-DUVERNET;1589981;4;;;;;Paris;14
283;Métro;CHEMIN VERT;1415141;8;;;;;Paris;11
273;Métro;PONT MARIE;1620243;7;;;;;Paris;4
282;Métro;VARENNE;1434206;13;;;;;Paris;7
290;Métro;KLEBER;1239886;6;;;;;Paris;16
284;Métro;PICPUS;1352984;6;;;;;Paris;12
276;Métro;SEGUR;1576059;10;;;;;Paris;15
18;Métro;STRASBOURG-SAINT-DENIS;10601066;4;8;9;;;Paris;2
76;Métro;PYRAMIDES;5281930;7;14;;;;Paris;1
58;Métro;VILLIERS;6095197;2;3;;;;Paris;17
86;Métro;PASTEUR;5030023;6;12;;;;Paris;9
82;Métro;PONT DE LEVALLOIS-BECON;5133998;3;;;;;Levallois-Perret;
64;Métro;LA COURNEUVE-8 MAI 1945;5870527;7;;;;;La Courneuve;
62;Métro;MARCEL SEMBAT;5952749;9;;;;;Boulogne Billancourt;
70;Métro;CHATEAU DE VINCENNES;5539169;1;;;;;Vincennes;
84;Métro;CRETEIL-PREFECTURE;5113576;8;;;;;Créteil;
83;Métro;HOCHE;5128138;5;;;;;Pantin;
101;Métro;DENFERT-ROCHEREAU;4536263;4;6;;;;Paris;14
104;Métro;JUSSIEU;4476394;7;10;;;;Paris;5
103;Métro;SAINT-GERMAIN DES PRES;4500669;4;;;;;Paris;6
96;Métro;PORTE DE MONTREUIL;4731789;9;;;;;Paris;20
111;Métro;PORTE DE CLICHY;4305225;13;;;;;Paris;17
94;Métro;PORTE DE VANVES;4768377;13;;;;;Paris;14
87;Métro;VOLTAIRE;4963540;9;;;;;Paris;11
105;Métro;LAUMIERE;4445721;5;;;;;Paris;19
98;Métro;PEREIRE;4691021;3;;;;;Paris;17
97;Métro;MAIRIE DES LILAS;4726057;11;;;;;Les Lilas;
301;Métro;PRE-SAINT-GERVAIS;367131;7bis;;;;;Paris;19
300;Métro;BUTTES-CHAUMONT;542357;7bis;;;;;Paris;19
297;Métro;PORTE D'AUTEUIL;651903;10;;;;;Paris;16
2;RER;GARE DE LYON-RER;39505911;A;;;;;Paris;12
9;RER;NOISY-LE-GRAND-MONT D'EST;8113352;A;;;;;Noisy-le-Grand;
6;RER;VAL DE FONTENAY;14444715;A;;;;;Fontenay-sous-Bois;
20;RER;NOISY-CHAMPS;5300935;A;;;;;Champs-sur-Marne;
12;RER;VINCENNES;7021456;A;;;;;Vincennes;
129;Métro;PORTE DES LILAS;3931994;3bis;11;;;;Paris;20
138;Métro;PORTE DE SAINT-OUEN;3736385;13;;;;;Paris;17
135;Métro;LEDRU-ROLLIN;3856297;8;;;;;Paris;12
139;Métro;MARX DORMOY;3717402;12;;;;;Paris;18
126;Métro;DUPLEIX;3978871;6;;;;;Paris;15
144;Métro;TERNES;3613687;2;;;;;Paris;17
128;Métro;PASSY;3942219;6;;;;;Paris;16
127;Métro;LES COURTILLES;3968367;13;;;;;Asnières sur Seine;
142;Métro;LOUISE MICHEL;3626552;3;;;;;Levallois-Perret;
134;Métro;EGLISE DE PANTIN;3876643;5;;;;;Pantin;
181;Métro;PORTE DAUPHINE;2991166;2;;;;;Paris;16
163;Métro;ETIENNE MARCEL;3297216;4;;;;;Paris;1
202;Métro;PORTE DOREE;2715367;8;;;;;Paris;12
147;Métro;VAUGIRARD;3597913;12;;;;;Paris;15
162;Métro;BOUCICAUT;3318843;8;;;;;Paris;15
221;Métro;RIQUET;2401771;7;;;;;Paris;19
145;Métro;SENTIER;3610996;3;;;;;Paris;3
164;Métro;BILLANCOURT;3248451;9;;;;;Boulogne Billancourt;
170;Métro;BERAULT;3149273;1;;;;;Vincennes;
171;Métro;MAIRIE D'IVRY;3145774;7;;;;;Ivry;
30;RER;SAINT-MAUR-CRETEIL;3594971;A;;;;;Saint-Maur des Fossés;
38;RER;FONTENAY-SOUS-BOIS;2631770;A;;;;;Fontenay-sous-Bois;
33;RER;CHAMPIGNY;3467855;A;;;;;Saint-Maur des Fossés;
28;RER;JOINVILLE-LE-PONT;3859220;A;;;;;Joinville-le-Pont;
34;RER;LA CROIX DE BERNY;3178607;B;;;;;Antony;
42;RER;CHATOU-CROISSY;2329986;A;;;;;Chatou;
21;RER;VAL D'EUROPE;4649606;A;;;;;Serris;
29;RER;LAPLACE;3718673;B;;;;;Arcueil;
262;Métro;TRINITE-D'ESTIENNE D'ORVES;1802492;12;;;;;Paris;9
268;Métro;SAINT-FRANCOIS-XAVIER;1726254;13;;;;;Paris;7
267;Métro;FILLES DU CALVAIRE;1730620;8;;;;;Paris;3
238;Métro;PORTE DE CHARENTON;2222987;8;;;;;Paris;12
264;Métro;CHATEAU-LANDON;1756811;7;;;;;Paris;10
234;Métro;VOLONTAIRES;2294691;12;;;;;Paris;15
226;Métro;TELEGRAPHE;2381268;11;;;;;Paris;20
245;Métro;BOISSIERE;2141539;6;;;;;Paris;16
266;Métro;LIEGE;1738577;13;;;;;Paris;8
263;Métro;MAISONS-ALFORT-STADE;1777237;8;;;;;Maisons -Alfort;
49;RER;LA VARENNE-CHENNEVIERES;1927735;A;;;;;saint-Maur des Fossés;
52;RER;LE VESINET-CENTRE;1301615;A;;;;;Le Vésinet;
44;RER;BRY-SUR-MARNE;2235493;A;;;;;Bry-sur-Marne;
54;RER;PALAISEAU;1067028;B;;;;;Palaiseau;
57;RER;LE GUICHET;956271;B;;;;;Orsay;
58;RER;LOZERE;846036;B;;;;;Palaiseau;
4;Métro;MONTPARNASSE-BIENVENUE;28953720;4;6;12;13;;Paris;14
26;Métro;CHARLES DE GAULLE-ETOILE;8530182;1;2;6;;;Paris;8
16;Métro;OPERA;11022100;3;7;8;;;Paris;9
29;Métro;MARCADET-POISSONNIERS;7973129;4;12;;;;Paris;18
22;Métro;PLACE CLICHY;9019721;2;13;;;;Paris;17
23;Métro;TROCADERO;8879431;6;9;;;;Paris;16
54;Métro;JAURES;6226202;2;5;7bis;;;Paris;19
102;Métro;REAUMUR-SEBASTOPOL;4523360;3;4;;;;Paris;3
66;Métro;REUILLY-DIDEROT;5845034;1;8;;;;Paris;12
55;Métro;MIROMESNIL;6190720;9;13;;;;Paris;8
89;Métro;CHARLES MICHELS;4886832;10;;;;;Paris;15
95;Métro;COLONEL FABIEN;4752228;2;;;;;Paris;10
109;Métro;MENILMONTANT;4331355;2;;;;;Paris;11
56;Métro;GEORGE V;6184000;1;;;;;Paris;8
115;Métro;SAINT-DENIS-PORTE DE PARIS;4262669;13;;;;;Saint Denis;
114;Métro;MAIRIE DE SAINT-OUEN;4283641;13;;;;;Saint Ouen;
4;RER;CHATELET-LES HALLES-RER;30156193;A;B;;;;Paris;1
289;Métro;QUAI DE LA RAPEE;1242700;5;;;;;Paris;12
19;RER;DENFERT-ROCHEREAU-RER;5391797;B;;;;;Paris;14
296;Métro;CHARDON-LAGACHE;660183;10;;;;;Paris;16
286;Métro;CAMPO-FORMIO;1297695;5;;;;;Paris;13
285;Métro;MIRABEAU;1346258;10;;;;;Paris;16
292;Métro;VANEAU;997620;10;;;;;Paris;7
16;RER;MARNE-LA-VALLEE-CHESSY;5851461;A;;;;;Montévrain;
11;RER;SAINT-MICHEL-NOTRE-DAME;7051095;B;;;;;Paris;
5;RER;NANTERRE-PREFECTURE;23598469;A;;;;;Nanterre;
200;Métro;FRANKLIN D. ROOSEVELT;2770958;1;9;;;;Paris;8
225;Métro;SEVRES-LECOURBE;2382490;6;;;;;Paris;15
193;Métro;SAINT-AUGUSTIN;2840829;9;;;;;Paris;8
259;Métro;SAINT-SULPICE;1830503;4;;;;;Paris;6
237;Métro;SAINT-MARCEL;2230692;5;;;;;Paris;13
201;Métro;DUGOMMIER;2764845;6;;;;;Paris;12
241;Métro;ABBESSES;2188257;12;;;;;Paris;18
216;Métro;WAGRAM;2530119;3;;;;;Paris;17
218;Métro;IENA;2445767;9;;;;;Paris;16
203;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2647208;5;;;;;Pantin;
154;Métro;CENSIER-DAUBENTON;3496111;7;;;;;Paris;6
173;Métro;RUE DE LA POMPE;3121397;9;;;;;Paris;16
117;Métro;ALMA-MARCEAU;4247823;9;;;;;Paris;8
124;Métro;LA MUETTE;4016508;9;;;;;Paris;16
172;Métro;PYRENEES;3134664;11;;;;;Paris;20
183;Métro;COURONNES;2977750;2;;;;;Paris;11
157;Métro;BROCHANT;3417248;13;;;;;Paris;17
136;Métro;BOULOGNE-JEAN JAURES;3809380;10;;;;;Boulogne Billancourt;
190;Métro;CRETEIL-POINTE DU LAC;2867922;8;;;;;Créteil;
143;Métro;GARIBALDI;3625630;13;;;;;Saint Ouen;
23;RER;NANTERRE-UNIVERSITE;4506687;A;;;;;Nanterre;
27;RER;NANTERRE-VILLE;3873868;A;;;;;Nanterre;
50;RER;LES BACONNETS;1842189;B;;;;;Antony;
40;RER;ORSAY-VILLE;2512143;B;;;;;Orsay;
51;RER;LOGNES;1634461;A;;;;;Lognes;
59;RER;GIF-SUR-YVETTE;794488;B;;;;;Gif sur Yvette;
64;RER;MASSY-VERRIERES;633536;B;;;;;Massy;
30;Métro;LA MOTTE-PICQUET-GRENELLE;7971520;6;8;10;;;Paris;15
37;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;7292728;7;9;;;;Paris;9
21;Métro;GARE D'AUSTERLITZ;9674901;5;10;;;;Paris;13
20;Métro;PALAIS-ROYAL;10024410;1;7;;;;Paris;1
38;Métro;PORTE DE VINCENNES;7246340;1;;;;;Paris;12
35;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7428167;7;;;;;Aubervilliers;
31;Métro;BOBIGNY-PABLO PICASSO;7904705;5;;;;;Bobigny;
118;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4139250;1;13;;;;Paris;8
131;Métro;PORTE DE LA VILLETTE;3909021;7;;;;;Paris;19
80;Métro;PORTE DE SAINT-CLOUD;5196965;9;;;;;Paris;16
78;Métro;PORTE DE PANTIN;5226446;5;;;;;Paris;19
88;Métro;PLAISANCE;4952901;13;;;;;Paris;14
119;Métro;CHARONNE;4051696;9;;;;;Paris;12
81;Métro;PONT DE SEVRES;5185440;9;;;;;Boulogne Billancourt;
141;Métro;MALAKOFF-PLATEAU DE VANVES;3659183;13;;;;;Malakoff;
116;Métro;MAIRIE D'ISSY;4251210;12;;;;;Issy Les Moulineaux;
121;Métro;FORT D'AUBERVILLIERS;4039188;7;;;;;Aubervilliers;
242;Métro;MICHEL-ANGE-MOLITOR;2170808;9;10;;;;Paris;16
232;Métro;CLUNY LA SORBONNE;2306916;10;;;;;Paris;5
235;Métro;BREGUET-SABIN;2273253;5;;;;;Paris;11
219;Métro;LOURMEL;2420654;8;;;;;Paris;15
210;Métro;VAVIN;2572831;4;;;;;Paris;14
215;Métro;LOUVRE;2558502;1;;;;;Paris;1
240;Métro;CITE;2191363;4;;;;;Paris;4
236;Métro;MAISONS-ALFORT-LES JUILLIOTTES;2269171;8;;;;;Maisons -Alfort;
229;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2334437;7;;;;;Villejuif;
213;Métro;VILLEJUIF-LEO LAGRANGE;2563169;7;;;;;Villejuif;
68;Métro;PIGALLE;5786015;2;12;;;;Paris;18
69;Métro;ODEON;5771522;4;10;;;;Paris;6
67;Métro;PORTE DE VERSAILLES;5827374;12;;;;;Paris;15
39;Métro;OLYMPIADES;7240711;14;;;;;Paris;13
52;Métro;SAINT-PAUL;6293063;1;;;;;Paris;4
61;Métro;CRIMEE;5999504;7;;;;;Paris;19
72;Métro;BALARD;5353471;8;;;;;Paris;15
44;Métro;PONT DE NEUILLY;7061761;1;;;;;Neuilly Sur Seine;
53;Métro;SAINT-MANDE-TOURELLE;6234125;1;;;;;Saint Mandé;
48;Métro;MAIRIE DE MONTROUGE;6786852;4;;;;;Montrouge;
265;Métro;RASPAIL;1743588;4;6;;;;Paris;14
246;Métro;LA TOUR-MAUBOURG;2136370;8;;;;;Paris;7
252;Métro;MICHEL BIZOT;1994388;8;;;;;Paris;12
257;Métro;PORTE D'IVRY;1932132;7;;;;;Paris;13
269;Métro;MONTGALLET;1710400;8;;;;;Paris;12
251;Métro;BUZENVAL;1994753;9;;;;;Paris;20
248;Métro;EXELMANS;2072581;9;;;;;Paris;16
277;Métro;EUROPE;1550969;3;;;;;Paris;8
256;Métro;AVRON;1960775;2;;;;;Paris;11
278;Métro;PIERRE CURIE;1547803;7;;;;;Ivry;
186;Métro;SAINT-PHILIPPE-DU-ROULE;2937242;9;;;;;Paris;8
184;Métro;LAMARCK-CAULAINCOURT;2968479;12;;;;;Paris;18
155;Métro;PORTE DE CHAMPERRET;3450481;3;;;;;Paris;17
180;Métro;PLACE MONGE;3001848;7;;;;;Paris;6
166;Métro;PARMENTIER;3219039;3;;;;;Paris;11
179;Métro;GONCOURT;3003253;11;;;;;Paris;11
187;Métro;COMMERCE;2933922;8;;;;;Paris;15
165;Métro;PERNETY;3240020;13;;;;;Paris;14
161;Métro;CADET;3322334;7;;;;;Paris;9
160;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3331245;8;;;;;Maisons -Alfort;
208;Métro;JACQUES BONSERGENT;2599072;5;;;;;Paris;10
192;Métro;PORTE DE CHOISY;2853091;7;;;;;Paris;13
191;Métro;CORENTIN CARIOU;2866103;7;;;;;Paris;19
188;Métro;SAINT-AMBROISE;2891169;9;;;;;Paris;11
206;Métro;CHATEAU ROUGE;2623832;4;;;;;Paris;18
194;Métro;LA FOURCHE;2839680;13;;;;;Paris;8
199;Métro;MARAICHERS;2778097;9;;;;;Paris;20
198;Métro;SAINT-MAUR;2783668;3;;;;;Paris;11
209;Métro;NATIONALE;2589861;6;;;;;Paris;13
189;Métro;ROME;2882323;2;;;;;Paris;17
53;RER;FONTENAY-AUX-ROSES;1114639;B;;;;;Fontenay aux roses;
65;RER;PARC DE SCEAUX;576795;B;;;;;Antony;
48;RER;ROBINSON;2072910;B;;;;;Sceaux;
10;RER;CITE UNIVERSITAIRE;7365818;B;;;;;Paris;14
287;Métro;SAINT-GEORGES;1274798;12;;;;;Paris;9
294;Métro;FALGUIERE;889118;12;;;;;Paris;15
279;Métro;PONT NEUF;1545258;7;;;;;Paris;4
298;Métro;DANUBE;595883;7bis;;;;;Paris;19
26;RER;NATION-RER;4212309;A;;;;;Paris;12
46;RER;GENTILLY;2146180;B;;;;;Gentilly;
43;RER;BAGNEUX;2313791;B;;;;;Cachan;
36;RER;NOISIEL;2782565;A;;;;;Noisiel;
25;RER;TORCY;4236462;A;;;;;Torcy;
